시도,시군구,연령,성별,전체대상자수,전체수검자수,위암대상자수,위암수검자수,대장암대상자수,대장암수검자수,간암대상자수,간암수검자수,유방암대상자수,유방암수검자수,자궁경부암대상자수,자궁경부암수검자수,폐암대상자수,폐암수검자수
울산광역시,중구,55-59세,남자,8530,3174,3557,1815,8308,2263,338,234,,,,,320,117
울산광역시,중구,55-59세,여자,8241,4433,3760,2510,7816,2879,264,206,3749,2612,3798,2706,4,1
울산광역시,중구,60-64세,남자,7921,4369,4956,3252,7358,3092,378,263,,,,,446,187
울산광역시,중구,60-64세,여자,8449,5375,5296,3596,7830,3577,295,241,5313,3717,5301,3680,16,5
울산광역시,중구,65-69세,남자,5515,3045,2435,1714,5288,2422,251,184,,,,,183,75
울산광역시,중구,65-69세,여자,6247,3514,2867,2073,5976,2576,199,158,2845,2070,2833,1986,5,3
울산광역시,중구,70-74세,남자,3622,2133,2288,1548,3463,1659,130,91,,,,,126,50
울산광역시,중구,70-74세,여자,4042,2288,2610,1730,3869,1627,139,103,2574,1663,2572,1575,6,3
울산광역시,중구,75-79세,남자,2120,886,902,508,2073,716,55,40,,,,,,
울산광역시,중구,75-79세,여자,2601,972,1108,617,2536,693,62,35,1078,548,1063,511,,
울산광역시,중구,80-84세,남자,1177,441,733,321,1143,338,17,10,,,,,,
울산광역시,중구,80-84세,여자,1782,494,1110,353,1735,341,25,11,1086,302,1090,273,,
울산광역시,중구,85세 이상,남자,483,68,208,37,478,57,5,3,,,,,,
울산광역시,중구,85세 이상,여자,1204,96,544,37,1196,68,10,2,543,28,540,22,,
울산광역시,남구,20-24세,여자,4346,1517,,,,,,,,,4346,1517,,
울산광역시,남구,25-29세,여자,3635,2347,,,,,,,,,3635,2347,,
울산광역시,남구,30-34세,여자,5198,3726,,,,,,,,,5198,3726,,
울산광역시,남구,35-39세,여자,3897,2877,,,,,,,,,3897,2877,,
울산광역시,남구,40-44세,남자,6701,4074,6504,3906,,,439,326,,,,,,
울산광역시,남구,40-44세,여자,7430,5969,6677,4260,,,283,234,6778,4659,6863,4901,,
울산광역시,남구,45-49세,남자,4876,3056,4579,2825,,,514,366,,,,,,
울산광역시,남구,45-49세,여자,6274,5017,5442,3568,,,427,328,5421,3745,5547,3979,,
울산광역시,남구,50-54세,남자,13406,6266,8258,4893,12948,3759,611,425,,,,,226,75
울산광역시,남구,50-54세,여자,14656,8849,9191,5833,13604,4750,472,366,9187,6097,9357,6395,2,0
울산광역시,남구,55-59세,남자,12889,5387,5481,3096,12529,3833,504,343,,,,,477,179
울산광역시,남구,55-59세,여자,12094,6658,5564,3716,11397,4387,380,289,5525,3828,5536,3838,4,3
울산광역시,남구,60-64세,남자,10926,6095,6678,4422,10217,4366,462,340,,,,,553,286
울산광역시,남구,60-64세,여자,11478,7500,7317,4990,10724,5197,381,303,7295,5084,7253,4937,12,7
울산광역시,남구,65-69세,남자,7376,4290,3325,2333,7097,3508,312,231,,,,,238,145
울산광역시,남구,65-69세,여자,7585,4510,3586,2569,7259,3415,259,200,3561,2537,3497,2318,4,1
울산광역시,남구,70-74세,남자,4508,2822,2696,1840,4319,2319,167,109,,,,,146,72
울산광역시,남구,70-74세,여자,4717,2821,2971,1975,4520,2039,152,114,2929,1872,2875,1600,7,4
울산광역시,남구,75-79세,남자,2382,1169,966,584,2320,1017,76,48,,,,,,
울산광역시,남구,75-79세,여자,2859,1094,1171,629,2787,802,65,40,1119,510,1112,434,,
울산광역시,남구,80-84세,남자,1320,499,811,329,1283,391,22,9,,,,,,
울산광역시,남구,80-84세,여자,1882,498,1152,316,1826,332,34,13,1119,229,1113,195,,
울산광역시,남구,85세 이상,남자,500,98,197,42,490,81,7,2,,,,,,
울산광역시,남구,85세 이상,여자,1278,125,616,44,1267,84,14,5,604,25,610,28,,
울산광역시,동구,20-24세,여자,1691,586,,,,,,,,,1691,586,,
울산광역시,동구,25-29세,여자,1372,849,,,,,,,,,1372,849,,
울산광역시,동구,30-34세,여자,2168,1473,,,,,,,,,2168,1473,,
울산광역시,동구,35-39세,여자,2338,1707,,,,,,,,,2338,1707,,
울산광역시,동구,40-44세,남자,4011,2613,3889,2524,,,270,187,,,,,,
울산광역시,동구,40-44세,여자,3788,2974,3358,2088,,,147,109,3412,2310,3519,2478,,
울산광역시,동구,45-49세,남자,2450,1619,2288,1510,,,289,200,,,,,,
울산광역시,동구,45-49세,여자,2533,1942,2174,1370,,,192,132,2204,1510,2246,1553,,
울산광역시,동구,50-54세,남자,5030,2510,3217,2001,4879,1936,263,180,,,,,109,39
울산광역시,동구,50-54세,여자,5206,3115,3228,2021,4880,2005,206,146,3253,2182,3319,2270,,
울산광역시,동구,55-59세,남자,5221,2842,2192,1327,5105,2500,263,178,,,,,236,81
울산광역시,동구,55-59세,여자,5301,2960,2422,1640,5085,2274,194,145,2376,1648,2419,1718,4,1
울산광역시,동구,60-64세,남자,5799,3381,3551,2255,5572,2852,348,257,,,,,293,124
울산광역시,동구,60-64세,여자,6284,4150,3955,2826,5947,3254,254,197,3957,2862,3976,2915,7,4
울산광역시,동구,65-69세,남자,4077,2453,1712,1199,3978,2188,226,166,,,,,109,43
울산광역시,동구,65-69세,여자,4095,2408,1874,1348,3959,2013,166,127,1823,1256,1833,1264,1,0
울산광역시,동구,70-74세,남자,2599,1623,1617,1112,2502,1440,135,94,,,,,82,24
